Job started on u040233.si.ehu.es
Date: Sun May 10 01:53:36 PM CEST 2026
CUDA_VISIBLE_DEVICES=4
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 2.9182, 'grad_norm': 0.3542896509170532, 'learning_rate': 1.0082249547587076e-06, 'epoch': 1.44}
{'loss': 2.9204, 'grad_norm': 0.3635919392108917, 'learning_rate': 7.443747960952707e-07, 'epoch': 1.44}
{'loss': 2.926, 'grad_norm': 0.3866245746612549, 'learning_rate': 5.203495083139331e-07, 'epoch': 1.45}
{'eval_loss': 2.1223537921905518, 'eval_chrf++': 42.8152, 'eval_runtime': 124.8314, 'eval_samples_per_second': 7.987, 'eval_steps_per_second': 1.001, 'epoch': 1.45}
{'loss': 2.9416, 'grad_norm': 0.38535887002944946, 'learning_rate': 3.362389782915698e-07, 'epoch': 1.46}
{'loss': 2.8878, 'grad_norm': 0.41186001896858215, 'learning_rate': 1.9211707769106746e-07, 'epoch': 1.47}
{'loss': 2.9226, 'grad_norm': 0.398464173078537, 'learning_rate': 8.804163332145621e-08, 'epoch': 1.48}
{'loss': 2.9143, 'grad_norm': 0.3822993040084839, 'learning_rate': 2.4054403935702686e-08, 'epoch': 1.49}
{'loss': 2.905, 'grad_norm': 0.3728565573692322, 'learning_rate': 1.810634756460594e-10, 'epoch': 1.5}
{'train_runtime': 11244.1893, 'train_samples_per_second': 93.966, 'train_steps_per_second': 2.936, 'train_loss': 2.9904542390709103, 'epoch': 1.5}
Job finished at Sun May 10 05:01:12 PM CEST 2026
