Job started on u040233.si.ehu.es
Date: Sun May 10 03:24:43 AM CEST 2026
CUDA_VISIBLE_DEVICES=5
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 2.9493, 'grad_norm': 0.3443281650543213, 'learning_rate': 0.00010735981185421618, 'epoch': 0.75}
{'loss': 2.9946, 'grad_norm': 0.35141611099243164, 'learning_rate': 0.00010536078181804685, 'epoch': 0.76}
{'loss': 2.9371, 'grad_norm': 0.33386749029159546, 'learning_rate': 0.00010335960084641879, 'epoch': 0.77}
{'loss': 2.9632, 'grad_norm': 0.316182017326355, 'learning_rate': 0.00010135707188398767, 'epoch': 0.78}
{'loss': 2.9478, 'grad_norm': 0.33097150921821594, 'learning_rate': 9.935399841627085e-05, 'epoch': 0.79}
{'loss': 2.9329, 'grad_norm': 0.33067792654037476, 'learning_rate': 9.73511841472605e-05, 'epoch': 0.8}
{'loss': 2.9403, 'grad_norm': 0.3434886038303375, 'learning_rate': 9.53494326769491e-05, 'epoch': 0.81}
{'loss': 2.9359, 'grad_norm': 0.3371531367301941, 'learning_rate': 9.334954717889654e-05, 'epoch': 0.82}
{'eval_loss': 2.112870931625366, 'eval_chrf++': 43.9978, 'eval_runtime': 144.3245, 'eval_samples_per_second': 6.908, 'eval_steps_per_second': 0.866, 'epoch': 0.82}
{'loss': 2.9749, 'grad_norm': 0.3427773416042328, 'learning_rate': 9.135233007796873e-05, 'epoch': 0.83}
{'loss': 2.9632, 'grad_norm': 0.35029351711273193, 'learning_rate': 8.935858272837613e-05, 'epoch': 0.84}
{'loss': 2.9197, 'grad_norm': 0.3395926356315613, 'learning_rate': 8.736910509214206e-05, 'epoch': 0.84}
{'loss': 2.9336, 'grad_norm': 0.3649686276912689, 'learning_rate': 8.538469541812977e-05, 'epoch': 0.85}
{'loss': 2.9429, 'grad_norm': 0.338153600692749, 'learning_rate': 8.340614992175656e-05, 'epoch': 0.86}
{'loss': 2.9186, 'grad_norm': 0.2981165647506714, 'learning_rate': 8.143426246552412e-05, 'epoch': 0.87}
{'loss': 2.9501, 'grad_norm': 0.35208532214164734, 'learning_rate': 7.946982424049265e-05, 'epoch': 0.88}
{'loss': 2.9215, 'grad_norm': 0.3390910029411316, 'learning_rate': 7.751362344882708e-05, 'epoch': 0.89}
{'loss': 2.9265, 'grad_norm': 0.335406631231308, 'learning_rate': 7.55664449875425e-05, 'epoch': 0.9}
{'loss': 2.9144, 'grad_norm': 0.36700913310050964, 'learning_rate': 7.362907013357548e-05, 'epoch': 0.91}
{'eval_loss': 2.1257052421569824, 'eval_chrf++': 43.2406, 'eval_runtime': 156.6057, 'eval_samples_per_second': 6.366, 'eval_steps_per_second': 0.798, 'epoch': 0.91}
{'loss': 2.928, 'grad_norm': 0.3546915054321289, 'learning_rate': 7.17022762303084e-05, 'epoch': 0.92}
{'loss': 2.9232, 'grad_norm': 0.36453235149383545, 'learning_rate': 6.978683637567149e-05, 'epoch': 0.93}
{'loss': 2.9581, 'grad_norm': 0.33978256583213806, 'learning_rate': 6.78835191119488e-05, 'epoch': 0.94}
{'loss': 2.9609, 'grad_norm': 0.37571510672569275, 'learning_rate': 6.599308811741159e-05, 'epoch': 0.94}
{'loss': 3.0013, 'grad_norm': 0.33045336604118347, 'learning_rate': 6.41163018999038e-05, 'epoch': 0.95}
{'loss': 2.8998, 'grad_norm': 0.3318819999694824, 'learning_rate': 6.225391349250176e-05, 'epoch': 0.96}
{'loss': 2.9155, 'grad_norm': 0.3253067135810852, 'learning_rate': 6.040667015137052e-05, 'epoch': 0.97}
{'loss': 2.939, 'grad_norm': 0.3549959361553192, 'learning_rate': 5.8575313055938466e-05, 'epoch': 0.98}
{'loss': 2.9517, 'grad_norm': 0.3696211874485016, 'learning_rate': 5.67605770115097e-05, 'epoch': 0.99}
{'loss': 2.9622, 'grad_norm': 0.3526455760002136, 'learning_rate': 5.4963190154434254e-05, 'epoch': 1.0}
{'eval_loss': 2.123501777648926, 'eval_chrf++': 42.4421, 'eval_runtime': 152.376, 'eval_samples_per_second': 6.543, 'eval_steps_per_second': 0.82, 'epoch': 1.0}
{'loss': 2.954, 'grad_norm': 0.35202571749687195, 'learning_rate': 5.318387365995399e-05, 'epoch': 1.01}
{'loss': 2.965, 'grad_norm': 0.3977292478084564, 'learning_rate': 5.14233414528414e-05, 'epoch': 1.02}
{'loss': 2.9464, 'grad_norm': 0.37566041946411133, 'learning_rate': 4.9682299920947984e-05, 'epoch': 1.03}
{'loss': 2.9251, 'grad_norm': 0.3749168813228607, 'learning_rate': 4.7961447631776234e-05, 'epoch': 1.04}
{'loss': 2.9299, 'grad_norm': 0.3306885361671448, 'learning_rate': 4.626147505218971e-05, 'epoch': 1.04}
{'loss': 2.9238, 'grad_norm': 0.3628600537776947, 'learning_rate': 4.4583064271373254e-05, 'epoch': 1.05}
{'loss': 2.9364, 'grad_norm': 0.37383386492729187, 'learning_rate': 4.292688872715459e-05, 'epoch': 1.06}
{'loss': 2.9776, 'grad_norm': 0.3234517276287079, 'learning_rate': 4.129361293579741e-05, 'epoch': 1.07}
